year,month,day,temp_C,site
2000,1,1,13.64001465,ABUR
2000,1,1,13.07000732,AQUE
2000,1,1,13.64001465,MOHK
2000,1,2,13.47000122,ABUR
2000,1,2,13.01000977,AQUE
2000,1,2,13.47000122,MOHK
2000,1,3,13.54000854,ABUR
2000,1,3,13.1000061,AQUE
2000,1,3,13.54000854,MOHK
2000,1,4,13.92001343,ABUR
2000,1,4,13.35998535,AQUE
2000,1,4,13.92001343,MOHK
2000,1,5,13.98999023,ABUR
2000,1,5,13.23999023,AQUE
2000,1,5,13.98999023,MOHK
2000,1,6,13.70001221,ABUR
2000,1,6,12.95001221,AQUE
2000,1,6,13.70001221,MOHK
2000,1,7,13.32000732,ABUR
2000,1,7,12.77999878,AQUE
2000,1,7,13.32000732,MOHK
2000,1,8,12.77999878,ABUR
2000,1,8,12.54998779,AQUE
2000,1,8,12.77999878,MOHK
2000,1,9,13.17999268,ABUR
2000,1,9,12.79998779,AQUE
2000,1,9,13.17999268,MOHK
2000,1,10,13.86999512,ABUR
2000,1,10,13.1499939,AQUE
2000,1,10,13.86999512,MOHK
2000,1,11,13.92999268,ABUR
2000,1,11,13.17999268,AQUE
2000,1,11,13.92999268,MOHK
2000,1,12,14.1499939,ABUR
2000,1,12,13.08999634,AQUE
2000,1,12,14.1499939,MOHK
2000,1,13,14.17001343,ABUR
2000,1,13,13.10998535,AQUE
2000,1,13,14.17001343,MOHK
2000,1,14,13.82998657,ABUR
2000,1,14,13.01000977,AQUE
2000,1,14,13.82998657,MOHK
2000,1,15,13.73999023,ABUR
2000,1,15,13.01000977,AQUE
2000,1,15,13.73999023,MOHK
2000,1,16,13.63000488,ABUR
2000,1,16,12.97000122,AQUE
2000,1,16,13.63000488,MOHK
2000,1,17,13.70001221,ABUR
2000,1,17,13.10998535,AQUE
2000,1,17,13.70001221,MOHK
2000,1,18,14.02999878,ABUR
2000,1,18,13.48999023,AQUE
2000,1,18,14.02999878,MOHK
2000,1,19,14.29000854,ABUR
2000,1,19,13.77999878,AQUE
2000,1,19,14.29000854,MOHK
2000,1,20,14.30999756,ABUR
2000,1,20,13.77999878,AQUE
2000,1,20,14.30999756,MOHK
2000,1,21,14.27999878,ABUR
2000,1,21,13.63000488,AQUE
2000,1,21,14.27999878,MOHK
2000,1,22,14.17001343,ABUR
2000,1,22,13.3999939,AQUE
2000,1,22,14.17001343,MOHK
2000,1,23,14.1000061,ABUR
2000,1,23,13.30999756,AQUE
2000,1,23,14.1000061,MOHK
2000,1,24,14.17001343,ABUR
