CONSEC_,YEAR,MONTH,DATE,SITE,_N,Replicate,WET_WT,DRY_WT,DRY_WET,ANAL_WT,C,H,N,CN_RATIO,NOTES,,,,
-99999,2002,4,4/4/02,MOHK,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2002,4,4/4/02,MOHK,15,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
666,2002,5,5/7/02,MOHK,10,1,0.51,0.05,0.09,2058,23.34,3.38,2.91,8.03,used average of individual plants,,,,
666,2002,5,5/7/02,MOHK,10,2,0.51,0.05,0.09,2212,21.8,3.02,2.69,8.09,used average of individual plants,,,,
677,2002,5,5/10/02,ABUR,10,1,-99999,-99999,-99999,2074,21.81,3.17,2.69,8.12,#N/A,,,,
677,2002,5,5/10/02,ABUR,10,2,-99999,-99999,-99999,2066,20.25,2.74,2.42,8.37,,,,,
688,2002,5,5/15/02,AQUE,10,1,3.68,0.36,0.1,2419,24.77,3.58,3.73,6.64,#N/A,,,,
688,2002,5,5/15/02,AQUE,10,2,3.68,0.36,0.1,2320,23.38,3.38,3.46,6.76,,,,,
699,2002,6,6/10/02,MOHK,10,1,4.29,0.43,0.1,2129,24.97,3.64,1.79,13.94,#N/A,,,,
699,2002,6,6/10/02,MOHK,10,2,4.29,0.43,0.1,2155,23.29,3.16,1.77,13.2,,,,,
710,2002,6,6/12/02,ABUR,10,1,4.68,0.4,0.09,2195,34.28,5.04,3.22,10.66,#N/A,,,,
710,2002,6,6/12/02,ABUR,10,2,4.68,0.4,0.09,2273,32.27,4.38,2.81,11.47,,,,,
726,2002,6,6/13/02,AQUE,10,1,0.22,0.02,0.08,2086,37.11,5.26,4.28,8.67,#N/A,,,,
726,2002,6,6/13/02,AQUE,10,2,0.22,0.02,0.08,2203,35.27,4.65,4.09,8.62,,,,,
736,2002,7,7/10/02,MOHK,8,1,3.13,0.3,0.1,2092,27.79,4.05,2.51,11.09,#N/A,,,,
736,2002,7,7/10/02,MOHK,8,2,3.13,0.3,0.1,2249,27.82,4.06,2.47,11.26,,,,,
762,2002,7,7/11/02,AQUE,14,1,4.58,0.39,0.09,2031,32.34,4.9,1.07,30.14,#N/A,,,,
762,2002,7,7/11/02,AQUE,14,2,4.58,0.39,0.09,2376,32.28,4.93,1.06,30.45,,,,,
747,2002,7,7/12/02,ABUR,10,1,4.38,0.45,0.1,2296,31.66,5.04,2.23,14.22,#N/A,,,,
747,2002,7,7/12/02,ABUR,10,2,4.38,0.45,0.1,2285,30.68,4.52,2.02,15.16,,,,,
797,2002,8,8/7/02,AQUE,12,1,6.66,0.44,0.07,2646,24.78,3.49,1.94,12.8,#N/A,,,,
797,2002,8,8/7/02,AQUE,12,2,6.66,0.44,0.07,2059,24.12,3.1,1.83,13.19,,,,,
773,2002,8,8/8/02,MOHK,10,1,4.3,0.41,0.09,1797,25.32,3.32,2.07,12.24,#N/A,,,,
773,2002,8,8/8/02,MOHK,10,2,4.3,0.41,0.09,1941,24.97,3.23,2.05,12.17,,,,,
784,2002,8,8/9/02,ABUR,10,1,4.81,0.45,0.09,2375,33.33,4.86,2.84,11.72,#N/A,,,,
784,2002,8,8/9/02,ABUR,10,2,4.81,0.45,0.09,2203,33.32,4.6,2.83,11.77,,,,,
834,2002,9,9/4/02,AQUE,12,1,-99999,-99999,-99999,2172,26.63,3.7,1.12,23.88,no data for wet/dry weights,,,,
834,2002,9,9/4/02,AQUE,12,2,-99999,-99999,-99999,2058,26.63,3.65,1.18,22.63,no data for wet/dry weights,,,,
808,2002,9,9/5/02,MOHK,10,1,3.99,0.33,0.08,2298,31.95,4.91,2.27,14.1,#N/A,,,,
808,2002,9,9/5/02,MOHK,10,2,3.99,0.33,0.08,2511,31.85,4.93,2.29,13.91,,,,,
819,2002,9,9/10/02,ABUR,10,1,4.74,0.58,0.12,2396,30.82,4.52,2.56,12.04,#N/A,,,,
819,2002,9,9/10/02,ABUR,10,2,4.74,0.58,0.12,2466,30.76,4.33,2.43,12.65,,,,,
857,2002,10,10/9/02,AQUE,14,1,6.1,0.52,0.09,2672,26.38,3.9,1.46,18.13,#N/A,,,,
857,2002,10,10/9/02,AQUE,14,2,6.1,0.52,0.09,2290,25.74,3.25,1.39,18.47,,,,,
845,2002,10,10/10/02,MOHK,10,1,4.58,0.37,0.08,2089,27.5,4,0.97,28.41,#N/A,,,,
845,2002,10,10/10/02,MOHK,10,2,4.58,0.37,0.08,2405,27.46,4.04,0.98,28.12,,,,,
856,2002,10,10/11/02,ABUR,10,1,5.76,0.44,0.08,2508,26.32,3.7,2.82,9.32,#N/A,,,,
856,2002,10,10/11/02,ABUR,10,2,5.76,0.44,0.08,2025,26.23,3.39,2.88,9.12,,,,,
896,2002,11,11/20/02,AQUE,14,1,5.01,0.47,0.09,2463,28.76,4.56,3.24,8.87,#N/A,,,,
896,2002,11,11/20/02,AQUE,14,2,5.01,0.47,0.09,2128,29.02,4.3,3.26,8.91,,,,,
881,2002,11,11/21/02,ABUR,9,1,3.75,0.36,0.1,2694,27.74,4.21,2.7,10.26,#N/A,,,,
881,2002,11,11/21/02,ABUR,9,2,3.75,0.36,0.1,2295,28.51,4.15,2.75,10.36,,,,,
907,2002,11,11/22/02,MOHK,10,1,3.98,0.37,0.09,2016,27.98,4.19,2.85,9.81,#N/A,,,,
907,2002,11,11/22/02,MOHK,10,2,3.98,0.37,0.09,2003,28.83,4.16,2.95,9.78,,,,,
909,2002,12,12/6/02,AQUE,10,1,5.24,0.39,0.07,2136,27.19,3.39,2.5,10.86,#N/A,,,,
909,2002,12,12/6/02,AQUE,10,2,5.24,0.39,0.07,2068,27.34,3.75,2.52,10.86,,,,,
908,2002,12,12/9/02,ABUR,10,1,4.09,0.34,0.08,2433,27.46,3.52,2.29,11.99,#N/A,,,,
908,2002,12,12/9/02,ABUR,10,2,4.09,0.34,0.08,2045,27.56,3.97,2.3,11.98,,,,,
910,2002,12,12/10/02,MOHK,10,1,3.5,0.28,0.08,2248,27.23,3.43,2.85,9.55,#N/A,,,,
910,2002,12,12/10/02,MOHK,10,2,3.5,0.28,0.08,2127,26.83,3.97,2.79,9.6,,,,,
2,2003,1,1/14/03,AQUE,10,1,3.99,0.33,0.08,2320,26.08,3.35,2.58,10.1,,,,,
2,2003,1,1/14/03,AQUE,10,2,3.99,0.33,0.08,2390,26.26,3.64,2.58,10.18,,,,,
1,2003,1,1/16/03,ABUR,10,1,6.13,0.56,0.09,2470,26.1,3.33,2.4,10.9,formatting note,,,,
1,2003,1,1/16/03,ABUR,10,2,6.13,0.56,0.09,2195,26.17,3.68,2.36,11.08,,,,,
3,2003,1,1/16/03,MOHK,10,1,3.73,0.3,0.08,2293,25.09,3.07,2.28,10.98,,,,,
3,2003,1,1/16/03,MOHK,10,2,3.73,0.3,0.08,2171,25.37,3.47,2.34,10.86,,,,,
4,2003,2,2/18/03,ABUR,10,1,3.29,0.25,0.07,2421,29.15,3.61,1.93,15.07,,,,,
4,2003,2,2/18/03,ABUR,10,2,3.29,0.25,0.07,2153,29.03,4.16,1.94,14.94,,,,,
6,2003,2,2/18/03,MOHK,10,1,2.96,0.2,0.07,2424,26.85,3.38,2,13.44,,,,,
6,2003,2,2/18/03,MOHK,10,2,2.96,0.2,0.07,2231,26.68,3.5,1.94,13.78,,,,,
5,2003,2,2/21/03,AQUE,10,1,4.23,0.31,0.07,2290,27.37,3.64,1.82,15.06,,,,,
5,2003,2,2/21/03,AQUE,10,2,4.23,0.31,0.07,2423,27.51,3.84,1.79,15.35,,,,,
8,2003,3,3/5/03,AQUE,10,1,4.25,0.3,0.07,2159,27.51,3.68,2.74,10.04,,,,,
8,2003,3,3/5/03,AQUE,10,2,4.25,0.3,0.07,2278,27.33,3.73,2.78,9.84,,,,,
9,2003,3,3/5/03,MOHK,10,1,6.21,0.36,0.06,2175,34.66,4.54,2.68,12.93,,,,,
9,2003,3,3/5/03,MOHK,10,2,6.21,0.36,0.06,2438,34.53,4.71,2.75,12.55,,,,,
7,2003,3,3/6/03,ABUR,10,1,3.94,0.38,0.1,2178,32.37,4.77,2.02,16.02,,,,,
7,2003,3,3/6/03,ABUR,10,2,3.94,0.38,0.1,2259,32.62,4.81,2.07,15.79,,,,,
12,2003,4,4/8/03,MOHK,12,1,4.84,0.49,0.1,2043,30.81,4.38,3.28,9.39,,,,,
12,2003,4,4/8/03,MOHK,12,2,4.84,0.49,0.1,2196,30.61,4.44,3.39,9.03,,,,,
10,2003,4,4/10/03,ABUR,10,1,4.16,-99999,-99999,2126,28.61,4.05,3.05,9.38,missing dry wt,,,,
10,2003,4,4/10/03,ABUR,10,2,4.16,-99999,-99999,2261,28.88,4.2,3.13,9.21,missing dry wt,,,,
11,2003,4,4/15/03,AQUE,10,1,4.32,-99999,-99999,2465,34.98,4.94,4.16,8.41,missing dry wt,,,,
11,2003,4,4/15/03,AQUE,10,2,4.32,-99999,-99999,2112,35.55,5.02,4.2,8.46,missing dry wt,,,,
15,2003,5,5/6/03,MOHK,10,1,1.62,0.13,0.08,2253,42.5,5.39,3.63,11.71,,,,,
15,2003,5,5/6/03,MOHK,10,2,1.62,0.13,0.08,2208,42.43,5.55,3.63,11.68,,,,,
13,2003,5,5/12/03,ABUR,10,1,4.28,0.28,0.07,2170,33.76,4.73,3.53,9.56,,,,,
13,2003,5,5/12/03,ABUR,10,2,4.28,0.28,0.07,2138,33.41,4.9,3.55,9.42,,,,,
14,2003,5,5/13/03,AQUE,10,1,3.94,0.21,0.05,2188,36.45,4.84,3.17,11.5,,,,,
14,2003,5,5/13/03,AQUE,10,2,3.94,0.21,0.05,2159,36.78,5,3.22,11.43,,,,,
16,2003,6,6/3/03,AQUE,10,1,3.66,0.35,0.1,2211,28.86,3.97,3.73,7.73,,,,,
16,2003,6,6/3/03,AQUE,10,2,3.66,0.35,0.1,2174,28.26,4.17,3.74,7.57,,,,,
17,2003,6,6/10/03,MOHK,9,1,3.12,0.31,0.1,2258,32.01,4.71,2.27,14.1,,,,,
17,2003,6,6/10/03,MOHK,9,2,3.12,0.31,0.1,2054,31.85,4.77,2.13,14.94,,,,,
18,2003,6,6/11/03,ABUR,10,1,4.39,0.29,0.07,2075,35.22,5.04,4.19,8.41,,,,,
18,2003,6,6/11/03,ABUR,10,2,4.39,0.29,0.07,2163,34.86,5.04,4.13,8.44,,,,,
20,2003,7,7/2/03,AQUE,15,1,7.03,0.54,0.08,2149,33.78,5.21,3.84,8.81,,,,,
20,2003,7,7/2/03,AQUE,15,2,7.03,0.54,0.08,2269,33.59,5.22,3.79,8.86,,,,,
19,2003,7,7/7/03,ABUR,15,1,7.26,0.78,0.11,2282,36.09,5.95,1.74,20.69,,,,,
19,2003,7,7/7/03,ABUR,15,2,7.26,0.78,0.11,2362,35.59,6.05,1.72,20.71,,,,,
21,2003,7,7/15/03,MOHK,15,1,6.4,0.36,0.06,2365,34.72,4.88,2.31,15.01,,,,,
21,2003,7,7/15/03,MOHK,15,2,6.4,0.36,0.06,2339,34.38,4.75,2.25,15.3,,,,,
22,2003,8,8/5/03,ABUR,15,1,5.42,0.43,0.08,2559,32.98,5,2.65,12.47,,,,,
22,2003,8,8/5/03,ABUR,15,2,5.42,0.43,0.08,2318,34.42,5.08,2.71,12.68,,,,,
24,2003,8,8/6/03,MOHK,15,1,5.03,0.4,0.08,2449,35.15,5,3.61,9.74,,,,,
24,2003,8,8/6/03,MOHK,15,2,5.03,0.4,0.08,2165,32.41,4.54,3.28,9.89,,,,,
23,2003,8,8/8/03,AQUE,15,1,6.38,0.47,0.07,2373,35.3,5.33,3.58,9.86,,,,,
23,2003,8,8/8/03,AQUE,15,2,6.38,0.47,0.07,2088,35.65,5.31,3.58,9.95,,,,,
25,2003,9,9/2/03,ABUR,15,1,4.85,0.32,0.07,2492,34.23,4.74,3.57,9.59,,,,,
25,2003,9,9/2/03,ABUR,15,2,4.85,0.32,0.07,2215,34.94,4.82,3.6,9.69,,,,,
26,2003,9,9/4/03,AQUE,15,1,6.21,0.48,0.08,2246,35.99,5.36,3.54,10.15,,,,,
26,2003,9,9/4/03,AQUE,15,2,6.21,0.48,0.08,2108,35.96,5.34,3.56,10.11,,,,,
27,2003,9,9/5/03,MOHK,15,1,6.04,0.38,0.06,1975,36.58,5.06,3.36,10.89,,,,,
27,2003,9,9/5/03,MOHK,15,2,6.04,0.38,0.06,2420,36.77,5.14,3.38,10.87,,,,,
-99999,2003,10,10/1/03,AQUE,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2003,10,10/1/03,AQUE,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2003,10,10/1/03,MOHK,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2003,10,10/1/03,MOHK,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
28,2003,10,10/1/03,ABUR,15,1,2.5,0.39,0.15,2437,38.53,5.47,2.9,13.27,,,,,
28,2003,10,10/1/03,ABUR,15,2,2.5,0.39,0.15,2152,38.55,5.44,2.96,13.02,,,,,
33,2003,11,11/6/03,AQUE,15,1,5.04,0.54,0.11,2089,29.43,4.65,3.21,9.16,,,,,
33,2003,11,11/6/03,AQUE,15,2,5.04,0.54,0.11,2191,30.28,4.68,3.31,9.14,,,,,
31,2003,11,11/13/03,ABUR,15,1,7.98,0.59,0.07,2132,29.49,4.83,2.02,14.57,,,,,
31,2003,11,11/13/03,ABUR,15,2,7.98,0.59,0.07,2370,29.29,4.68,2,14.65,,,,,
32,2003,11,11/14/03,MOHK,15,1,8.79,0.64,0.07,2076,34.03,5.25,1.99,17.14,,,,,
32,2003,11,11/14/03,MOHK,15,2,8.79,0.64,0.07,2415,34.05,5.24,1.98,17.19,,,,,
34,2003,12,12/3/03,MOHK,15,1,6.53,0.53,0.08,2473,27.44,4.24,1.91,14.36,,,,,
34,2003,12,12/3/03,MOHK,15,2,6.53,0.53,0.08,2257,27.56,4.27,1.89,14.58,,,,,
36,2003,12,12/5/03,ABUR,15,1,6.91,0.55,0.08,2395,29.35,4.52,3.5,8.38,,,,,
36,2003,12,12/5/03,ABUR,15,2,6.91,0.55,0.08,2245,28.77,4.4,3.43,8.39,,,,,
35,2003,12,12/8/03,AQUE,15,1,7.51,0.61,0.08,2260,28.01,4.37,1.89,14.8,,,,,
35,2003,12,12/8/03,AQUE,15,2,7.51,0.61,0.08,2124,28.54,4.44,1.88,15.15,,,,,
38,2004,1,1/7/04,AQUE,15,1,5.89,0.52,0.09,2273,26.67,3.59,2.84,9.39,,,,,
38,2004,1,1/7/04,AQUE,15,2,5.89,0.52,0.09,2536,26.99,3.66,2.9,9.3,,,,,
37,2004,1,1/9/04,ABUR,15,1,6.07,0.42,0.07,2143,28.04,3.77,3.27,8.58,,,,,
37,2004,1,1/9/04,ABUR,15,2,6.07,0.42,0.07,2157,27.5,3.77,3.22,8.55,,,,,
-99999,2004,1,1/1/04,MOHK,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2004,1,1/1/04,MOHK,15,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
42,2004,2,2/2/04,MOHK,15,1,8.26,0.55,0.07,2402,28.33,3.79,2.85,9.96,,,,,
42,2004,2,2/2/04,MOHK,15,2,8.26,0.55,0.07,2441,28.64,3.85,2.91,9.84,,,,,
40,2004,2,2/6/04,ABUR,15,1,8.06,0.59,0.07,2564,27.81,3.93,2.98,9.34,,,,,
40,2004,2,2/6/04,ABUR,15,2,8.06,0.59,0.07,2321,28.02,3.93,3.01,9.3,,,,,
41,2004,2,2/12/04,AQUE,15,1,7.26,0.5,0.07,2411,25.23,3.32,3,8.42,,,,,
41,2004,2,2/12/04,AQUE,15,2,7.26,0.5,0.07,2119,24.37,3.13,2.99,8.15,,,,,
43,2004,3,3/8/04,ABUR,15,1,6.01,0.51,0.08,2350,25.76,3.46,2.44,10.58,,,,,
43,2004,3,3/8/04,ABUR,15,2,6.01,0.51,0.08,2235,25.63,3.69,2.42,10.58,,,,,
45,2004,3,3/10/04,MOHK,15,1,3.39,0.32,0.09,2633,26.16,3.72,2.05,12.78,,,,,
45,2004,3,3/10/04,MOHK,15,2,3.39,0.32,0.09,2234,25.49,3.61,1.91,13.33,,,,,
44,2004,3,3/12/04,AQUE,15,1,6.3,0.39,0.06,2411,25.76,3.71,2.43,10.63,,,,,
44,2004,3,3/12/04,AQUE,15,2,6.3,0.39,0.06,2033,27.55,3.92,2.09,13.17,,,,,
48,2004,4,4/5/04,MOHK,15,1,4.3,0.32,0.07,2303,28.4,4.28,1.48,19.22,,,,,
48,2004,4,4/5/04,MOHK,15,2,4.3,0.32,0.07,2232,28.16,4.21,1.45,19.43,,,,,
47,2004,4,4/7/04,AQUE,15,1,3.46,0.41,0.12,2496,29.85,4.5,1.62,18.45,,,,,
47,2004,4,4/7/04,AQUE,15,2,3.46,0.41,0.12,2283,30.23,4.57,1.61,18.8,,,,,
46,2004,4,4/12/04,ABUR,15,1,4.65,0.42,0.09,2502,24.91,3.51,2.19,11.36,,,,,
46,2004,4,4/12/04,ABUR,15,2,4.65,0.42,0.09,2282,25.15,3.51,2.16,11.67,,,,,
