year,month,date,temp_C,site
2019,5,20190502,15.07,ABUR
2019,5,20190502,14.56,AQUE
2019,5,20190502,15.07,MOHK
2019,5,20190503,15.52,ABUR
2019,5,20190503,14.95,AQUE
2019,5,20190503,15.55,MOHK
2019,5,20190504,15.65,ABUR
2019,5,20190504,15.22,AQUE
2019,5,20190504,15.68,MOHK
2019,5,20190505,15.57,ABUR
2019,5,20190505,15.36,AQUE
2019,5,20190505,15.57,MOHK
2019,5,20190506,15.34,ABUR
2019,5,20190506,15.24,AQUE
2019,5,20190506,15.35,MOHK
2019,5,20190507,15.42,ABUR
2019,5,20190507,14.67,AQUE
2019,5,20190507,15.43,MOHK
2019,5,20190508,15.32,ABUR
2019,5,20190508,14.24,AQUE
2019,5,20190508,15.35,MOHK
2019,5,20190509,14.94,ABUR
2019,5,20190509,14.23,AQUE
2019,5,20190509,14.95,MOHK
2019,5,20190510,14.72,ABUR
2019,5,20190510,14.5,AQUE
2019,5,20190510,14.74,MOHK
2019,5,20190511,15.54,ABUR
2019,5,20190511,14.93,AQUE
2019,5,20190511,15.57,MOHK
2019,5,20190512,16.15,ABUR
2019,5,20190512,15.09,AQUE
2019,5,20190512,16.18,MOHK
2019,5,20190513,16.13,ABUR
2019,5,20190513,15.41,AQUE
2019,5,20190513,16.15,MOHK
2019,5,20190514,15.81,ABUR
2019,5,20190514,15.02,AQUE
2019,5,20190514,15.84,MOHK
2019,5,20190515,15.03,ABUR
2019,5,20190515,14.13,AQUE
2019,5,20190515,15.04,MOHK
2019,5,20190516,14.2,ABUR
2019,5,20190516,14.07,AQUE
2019,5,20190516,14.17,MOHK
2019,5,20190517,14.15,ABUR
2019,5,20190517,13.93,AQUE
2019,5,20190517,14.08,MOHK
2019,5,20190518,13.89,ABUR
2019,5,20190518,13.53,AQUE
2019,5,20190518,13.89,MOHK
2019,5,20190519,12.98,ABUR
2019,5,20190519,13.09,AQUE
2019,5,20190519,12.98,MOHK
2019,5,20190520,12.57,ABUR
2019,5,20190520,12.7,AQUE
2019,5,20190520,12.57,MOHK
2019,5,20190521,12.55,ABUR
2019,5,20190521,12.47,AQUE
2019,5,20190521,12.56,MOHK
2019,5,20190522,12.38,ABUR
2019,5,20190522,12.29,AQUE
2019,5,20190522,12.39,MOHK
2019,5,20190523,11.87,ABUR
2019,5,20190523,12.33,AQUE
2019,5,20190523,11.87,MOHK
2019,5,20190524,12.24,ABUR
2019,5,20190524,12.24,AQUE
2019,5,20190524,12.21,MOHK
2019,5,20190525,12.23,ABUR
