"year","date","temp_C","site"
2019,20191001,18.09,"ABUR"
2019,20191001,16,"AQUE"
2019,20191001,18.15,"MOHK"
2019,20191002,18.49,"ABUR"
2019,20191002,17.08,"AQUE"
2019,20191002,18.5,"MOHK"
2019,20191003,18.64,"ABUR"
2019,20191003,17.84,"AQUE"
2019,20191003,18.64,"MOHK"
2019,20191004,18.68,"ABUR"
2019,20191004,18.28,"AQUE"
2019,20191004,18.69,"MOHK"
2019,20191005,18.82,"ABUR"
2019,20191005,18.43,"AQUE"
2019,20191005,18.82,"MOHK"
2019,20191006,18.75,"ABUR"
2019,20191006,18.44,"AQUE"
2019,20191006,18.76,"MOHK"
2019,20191007,18.36,"ABUR"
2019,20191007,18.56,"AQUE"
2019,20191007,18.38,"MOHK"
2019,20191008,18.25,"ABUR"
2019,20191008,18.17,"AQUE"
2019,20191008,18.28,"MOHK"
2019,20191009,17.44,"ABUR"
2019,20191009,17.09,"AQUE"
2019,20191009,17.46,"MOHK"
2019,20191010,17.4,"ABUR"
2019,20191010,16.99,"AQUE"
2019,20191010,17.42,"MOHK"
2019,20191011,17.5,"ABUR"
2019,20191011,17.36,"AQUE"
2019,20191011,17.53,"MOHK"
2019,20191012,17.43,"ABUR"
2019,20191012,17.32,"AQUE"
2019,20191012,17.47,"MOHK"
2019,20191013,17.87,"ABUR"
2019,20191013,17.37,"AQUE"
2019,20191013,17.89,"MOHK"
2019,20191014,18.15,"ABUR"
2019,20191014,17.44,"AQUE"
2019,20191014,18.16,"MOHK"
2019,20191015,18.23,"ABUR"
2019,20191015,17.44,"AQUE"
2019,20191015,18.23,"MOHK"
2019,20191016,18.35,"ABUR"
2019,20191016,17.43,"AQUE"
2019,20191016,18.36,"MOHK"
2019,20191017,17.81,"ABUR"
2019,20191017,16.4,"AQUE"
2019,20191017,17.84,"MOHK"
2019,20191018,17.84,"ABUR"
2019,20191018,16.48,"AQUE"
2019,20191018,17.87,"MOHK"
2019,20191019,17.74,"ABUR"
2019,20191019,16.48,"AQUE"
2019,20191019,17.75,"MOHK"
2019,20191020,17.7,"ABUR"
2019,20191020,16.49,"AQUE"
2019,20191020,17.73,"MOHK"
2019,20191021,17.89,"ABUR"
2019,20191021,16.58,"AQUE"
2019,20191021,17.92,"MOHK"
2019,20191022,17.92,"ABUR"
2019,20191022,17.21,"AQUE"
2019,20191022,17.94,"MOHK"
2019,20191023,18.09,"ABUR"
2019,20191023,17.14,"AQUE"
2019,20191023,18.11,"MOHK"
2019,20191024,18.37,"ABUR"
2019,20191024,17.58,"AQUE"
2019,20191024,18.4,"MOHK"
2019,20191025,18.53,"ABUR"
2019,20191025,18.27,"AQUE"
2019,20191025,18.55,"MOHK"
2019,20191026,18.36,"ABUR"
2019,20191026,18.06,"AQUE"
2019,20191026,18.36,"MOHK"
2019,20191027,17.76,"ABUR"
2019,20191027,17.7,"AQUE"
2019,20191027,17.75,"MOHK"
2019,20191028,17.62,"ABUR"
2019,20191028,17.43,"AQUE"
2019,20191028,17.63,"MOHK"
2019,20191029,17.75,"ABUR"
2019,20191029,17.63,"AQUE"
2019,20191029,17.76,"MOHK"
2019,20191030,17.42,"ABUR"
2019,20191030,17.55,"AQUE"
2019,20191030,17.45,"MOHK"
2019,20191031,17.58,"ABUR"
2019,20191031,17.37,"AQUE"
2019,20191031,17.59,"MOHK"
2019,20191101,17.25,"ABUR"
2019,20191101,17.06,"AQUE"
2019,20191101,17.25,"MOHK"
2019,20191102,17.13,"ABUR"
2019,20191102,17.07,"AQUE"
2019,20191102,17.14,"MOHK"
2019,20191103,17.23,"ABUR"
2019,20191103,17.28,"AQUE"
2019,20191103,17.23,"MOHK"
2019,20191104,17.98,"ABUR"
2019,20191104,17.57,"AQUE"
2019,20191104,17.97,"MOHK"
2019,20191105,17.51,"ABUR"
2019,20191105,17.44,"AQUE"
2019,20191105,17.5,"MOHK"
2019,20191106,17.41,"ABUR"
2019,20191106,17.33,"AQUE"
2019,20191106,17.4,"MOHK"
2019,20191107,17.64,"ABUR"
2019,20191107,17.38,"AQUE"
2019,20191107,17.65,"MOHK"
2019,20191108,17.66,"ABUR"
2019,20191108,17.32,"AQUE"
2019,20191108,17.66,"MOHK"
2019,20191109,17.74,"ABUR"
2019,20191109,17.4,"AQUE"
2019,20191109,17.75,"MOHK"
2019,20191110,17.98,"ABUR"
2019,20191110,17.67,"AQUE"
2019,20191110,17.99,"MOHK"
2019,20191111,17.87,"ABUR"
2019,20191111,17.67,"AQUE"
2019,20191111,17.87,"MOHK"
2019,20191112,18.01,"ABUR"
2019,20191112,17.84,"AQUE"
2019,20191112,18,"MOHK"
2019,20191113,17.62,"ABUR"
2019,20191113,17.48,"AQUE"
2019,20191113,17.62,"MOHK"
2019,20191114,17.24,"ABUR"
2019,20191114,17.08,"AQUE"
2019,20191114,17.24,"MOHK"
2019,20191115,17.25,"ABUR"
2019,20191115,17.06,"AQUE"
2019,20191115,17.26,"MOHK"
2019,20191116,17.52,"ABUR"
2019,20191116,17.41,"AQUE"
2019,20191116,17.53,"MOHK"
2019,20191117,18.01,"ABUR"
2019,20191117,17.84,"AQUE"
2019,20191117,17.99,"MOHK"
2019,20191118,18.15,"ABUR"
2019,20191118,18.18,"AQUE"
2019,20191118,18.13,"MOHK"
2019,20191119,17.29,"ABUR"
2019,20191119,16.73,"AQUE"
2019,20191119,17.28,"MOHK"
2019,20191120,17,"ABUR"
2019,20191120,16.24,"AQUE"
2019,20191120,16.99,"MOHK"
2019,20191121,16.62,"ABUR"
2019,20191121,15.75,"AQUE"
2019,20191121,16.64,"MOHK"
2019,20191122,16.38,"ABUR"
2019,20191122,15.71,"AQUE"
2019,20191122,16.41,"MOHK"
2019,20191123,16.57,"ABUR"
2019,20191123,16.54,"AQUE"
2019,20191123,16.59,"MOHK"
2019,20191124,16.8,"ABUR"
2019,20191124,16.58,"AQUE"
2019,20191124,16.83,"MOHK"
2019,20191125,17.16,"ABUR"
2019,20191125,16.71,"AQUE"
2019,20191125,17.19,"MOHK"
2019,20191126,17.02,"ABUR"
2019,20191126,16.68,"AQUE"
2019,20191126,17.07,"MOHK"
2019,20191127,16.81,"ABUR"
2019,20191127,16.5,"AQUE"
2019,20191127,16.85,"MOHK"
2019,20191128,16.08,"ABUR"
2019,20191128,15.92,"AQUE"
2019,20191128,16.07,"MOHK"
2019,20191129,15.96,"ABUR"
2019,20191129,15.82,"AQUE"
2019,20191129,15.94,"MOHK"
2019,20191130,16.34,"ABUR"
2019,20191130,16.14,"AQUE"
2019,20191130,16.35,"MOHK"
2019,20191201,16.41,"ABUR"
2019,20191201,16.15,"AQUE"
2019,20191201,16.41,"MOHK"
2019,20191202,16.28,"ABUR"
2019,20191202,16.13,"AQUE"
2019,20191202,16.28,"MOHK"
2019,20191203,15.89,"ABUR"
2019,20191203,15.64,"AQUE"
2019,20191203,15.9,"MOHK"
2019,20191204,15.85,"ABUR"
2019,20191204,15.61,"AQUE"
2019,20191204,15.86,"MOHK"
2019,20191205,15.72,"ABUR"
2019,20191205,15.52,"AQUE"
2019,20191205,15.73,"MOHK"
2019,20191206,15.72,"ABUR"
2019,20191206,15.58,"AQUE"
2019,20191206,15.73,"MOHK"
2019,20191207,15.87,"ABUR"
2019,20191207,15.79,"AQUE"
2019,20191207,15.88,"MOHK"
2019,20191208,15.92,"ABUR"
2019,20191208,15.88,"AQUE"
2019,20191208,15.91,"MOHK"
2019,20191209,15.85,"ABUR"
2019,20191209,16.12,"AQUE"
2019,20191209,15.83,"MOHK"
2019,20191210,15.97,"ABUR"
2019,20191210,16.24,"AQUE"
2019,20191210,15.97,"MOHK"
2019,20191211,16.17,"ABUR"
2019,20191211,16.21,"AQUE"
2019,20191211,16.17,"MOHK"
2019,20191212,16.36,"ABUR"
2019,20191212,16.29,"AQUE"
2019,20191212,16.37,"MOHK"
2019,20191213,16.23,"ABUR"
2019,20191213,16.21,"AQUE"
2019,20191213,16.24,"MOHK"
2019,20191214,16.13,"ABUR"
2019,20191214,16.15,"AQUE"
2019,20191214,16.13,"MOHK"
2019,20191215,16.06,"ABUR"
2019,20191215,15.79,"AQUE"
2019,20191215,16.05,"MOHK"
2019,20191216,16.01,"ABUR"
2019,20191216,15.43,"AQUE"
2019,20191216,16,"MOHK"
2019,20191217,15.07,"ABUR"
2019,20191217,14.67,"AQUE"
2019,20191217,15.08,"MOHK"
2019,20191218,15.18,"ABUR"
2019,20191218,14.7,"AQUE"
2019,20191218,15.19,"MOHK"
2019,20191219,14.78,"ABUR"
2019,20191219,14.57,"AQUE"
2019,20191219,14.79,"MOHK"
2019,20191220,14.64,"ABUR"
2019,20191220,14.6,"AQUE"
2019,20191220,14.66,"MOHK"
2019,20191221,14.66,"ABUR"
2019,20191221,14.51,"AQUE"
2019,20191221,14.68,"MOHK"
2019,20191222,14.29,"ABUR"
2019,20191222,14.04,"AQUE"
2019,20191222,14.31,"MOHK"
2019,20191223,14.12,"ABUR"
2019,20191223,13.91,"AQUE"
2019,20191223,14.14,"MOHK"
2019,20191224,13.97,"ABUR"
2019,20191224,13.74,"AQUE"
2019,20191224,14,"MOHK"
2019,20191225,13.99,"ABUR"
2019,20191225,13.81,"AQUE"
2019,20191225,14,"MOHK"
2019,20191226,13.95,"ABUR"
2019,20191226,13.65,"AQUE"
2019,20191226,13.96,"MOHK"
2019,20191227,14.52,"ABUR"
2019,20191227,14.46,"AQUE"
2019,20191227,14.52,"MOHK"
2019,20191228,14.78,"ABUR"
2019,20191228,14.64,"AQUE"
2019,20191228,14.79,"MOHK"
2019,20191229,14.82,"ABUR"
2019,20191229,14.71,"AQUE"
2019,20191229,14.83,"MOHK"
2019,20191230,15.25,"ABUR"
2019,20191230,14.76,"AQUE"
2019,20191230,15.25,"MOHK"
2019,20191231,15.51,"ABUR"
2019,20191231,14.68,"AQUE"
2019,20191231,15.52,"MOHK"
2020,20200101,15.08,"ABUR"
2020,20200101,14.94,"AQUE"
2020,20200101,15.1,"MOHK"
2020,20200102,15.05,"ABUR"
2020,20200102,15.11,"AQUE"
2020,20200102,15.08,"MOHK"
2020,20200103,15.21,"ABUR"
2020,20200103,15.39,"AQUE"
2020,20200103,15.22,"MOHK"
2020,20200104,15.28,"ABUR"
2020,20200104,15.63,"AQUE"
2020,20200104,15.28,"MOHK"
2020,20200105,15.31,"ABUR"
2020,20200105,15.56,"AQUE"
2020,20200105,15.31,"MOHK"
2020,20200106,15.51,"ABUR"
2020,20200106,15.11,"AQUE"
2020,20200106,15.5,"MOHK"
2020,20200107,15.56,"ABUR"
2020,20200107,15.1,"AQUE"
2020,20200107,15.57,"MOHK"
2020,20200108,15.44,"ABUR"
2020,20200108,15.33,"AQUE"
2020,20200108,15.43,"MOHK"
2020,20200109,15.08,"ABUR"
2020,20200109,14.94,"AQUE"
2020,20200109,15.06,"MOHK"
2020,20200110,15.11,"ABUR"
2020,20200110,15.06,"AQUE"
2020,20200110,15.1,"MOHK"
2020,20200111,15.17,"ABUR"
2020,20200111,15.07,"AQUE"
2020,20200111,15.17,"MOHK"
2020,20200112,15.08,"ABUR"
2020,20200112,15.08,"AQUE"
2020,20200112,15.07,"MOHK"
2020,20200113,14.97,"ABUR"
2020,20200113,15.1,"AQUE"
2020,20200113,14.93,"MOHK"
2020,20200114,15.02,"ABUR"
2020,20200114,15.09,"AQUE"
2020,20200114,15.02,"MOHK"
2020,20200115,14.94,"ABUR"
2020,20200115,15.02,"AQUE"
2020,20200115,14.94,"MOHK"
2020,20200116,14.64,"ABUR"
2020,20200116,14.75,"AQUE"
2020,20200116,14.65,"MOHK"
2020,20200117,14.85,"ABUR"
2020,20200117,14.81,"AQUE"
2020,20200117,14.86,"MOHK"
2020,20200118,14.83,"ABUR"
2020,20200118,14.74,"AQUE"
2020,20200118,14.83,"MOHK"
2020,20200119,14.86,"ABUR"
2020,20200119,14.79,"AQUE"
2020,20200119,14.86,"MOHK"
2020,20200120,15.08,"ABUR"
2020,20200120,15.05,"AQUE"
2020,20200120,15.09,"MOHK"
2020,20200121,15.19,"ABUR"
2020,20200121,15.19,"AQUE"
2020,20200121,15.2,"MOHK"
2020,20200122,15.2,"ABUR"
2020,20200122,15.23,"AQUE"
2020,20200122,15.2,"MOHK"
2020,20200123,15.16,"ABUR"
2020,20200123,15.12,"AQUE"
2020,20200123,15.14,"MOHK"
2020,20200124,15.18,"ABUR"
