year,month,day,MJO_120W
2002,5,3,0.56
2002,5,8,-1.58
2002,5,13,-2.95
2002,5,18,-0.68
2002,5,23,0.33
2002,5,28,0.86
2002,6,2,1.13
2002,6,7,1.24
2002,6,12,1.1
2002,6,17,-1.42
2002,6,22,-2.24
2002,6,27,-1.18
2002,7,2,-1.27
2002,7,7,-0.45
2002,7,12,-0.12
2002,7,17,0.82
2002,7,22,-0.86
2002,7,27,-0.43
2002,8,1,0.03
2002,8,6,-1.5
2002,8,11,-2.12
2002,8,16,-2.06
2002,8,21,-0.31
2002,8,26,0.63
2002,8,31,0.56
2002,9,5,-0.1
2002,9,10,-0.93
2002,9,15,-1.11
2002,9,20,0.37
2002,9,25,0.91
2002,9,30,0.56
2002,10,5,-0.55
2002,10,10,-0.47
2002,10,15,-0.22
2002,10,20,0.44
2002,10,25,1.17
2002,10,30,1.61
2002,11,4,1.42
2002,11,9,0.33
2002,11,14,-0.18
2002,11,19,-1.1
2002,11,24,-2.07
2002,11,29,-2.21
2002,12,4,0.16
2002,12,9,1.24
2002,12,14,1.27
2002,12,19,1.98
2002,12,24,0.69
2002,12,29,-1.46
2003,1,3,-1.02
2003,1,8,-0.78
2003,1,13,-0.16
2003,1,18,0.79
2003,1,23,0.07
2003,1,28,0.14
2003,2,2,-0.38
2003,2,7,-0.34
2003,2,12,0.5
2003,2,17,0.27
2003,2,22,0.47
2003,2,27,-0.37
2003,3,4,-1.41
2003,3,9,-1.61
2003,3,14,1.21
2003,3,19,2.78
2003,3,24,1.44
2003,3,29,-0.38
2003,4,3,-0.46
2003,4,8,0.2
2003,4,13,1.66
2003,4,18,0.66
2003,4,23,1.14
2003,4,28,1.12
2003,5,3,0.2
2003,5,8,-0.66
2003,5,13,-1.95
2003,5,18,-1.56
2003,5,23,-0.66
2003,5,28,0.81
2003,6,2,0.55
2003,6,7,0.48
2003,6,12,0.74
2003,6,17,1.3
2003,6,22,1.38
2003,6,27,0.33
2003,7,2,1.18
2003,7,7,0.46
2003,7,12,0.06
2003,7,17,-0.12
2003,7,22,-1.11
2003,7,27,-0.31
2003,8,1,-0.17
2003,8,6,0.01
2003,8,11,-0.02
2003,8,16,0.71
2003,8,21,-0.09
2003,8,26,-0.36
2003,8,31,0.03
2003,9,5,-0.06
2003,9,10,-0.25
2003,9,15,-0.74
2003,9,20,-0.58
2003,9,25,0.71
2003,9,30,0.16
2003,10,5,0.38
2003,10,10,-0.32
2003,10,15,-0.56
2003,10,20,-0.76
2003,10,25,-0.19
2003,10,30,1.15
2003,11,4,0.98
2003,11,9,0.3
2003,11,14,-0.27
2003,11,19,0.58
2003,11,24,0.55
2003,11,29,0.32
2003,12,4,1.38
2003,12,9,0.98
2003,12,14,-1.03
2003,12,19,-1.97
2003,12,24,-1.13
2003,12,29,-0.24
2004,1,3,-1.09
2004,1,8,1
2004,1,13,2.17
2004,1,18,2.24
2004,1,23,2.03
2004,1,28,1.09
2004,2,2,-1.19
2004,2,7,-2.4
2004,2,12,-0.89
2004,2,17,1
2004,2,22,2.01
2004,2,27,-0.47
2004,3,4,-0.06
2004,3,9,-0.24
2004,3,14,-2.28
2004,3,19,-2.59
2004,3,24,-1.42
2004,3,29,1.34
2004,4,3,1.17
2004,4,8,-0.4
2004,4,13,-0.11
2004,4,18,0.48
2004,4,23,1.13
2004,4,28,0.47
2004,5,3,-0.76
2004,5,8,-1.71
2004,5,13,-2.43
2004,5,18,-1.15
2004,5,23,-0.56
2004,5,28,-0.04
2004,6,2,-1.31
2004,6,7,-0.65
2004,6,12,-0.87
2004,6,17,-1.97
2004,6,22,-2.13
2004,6,27,-1.66
2004,7,2,0.42
2004,7,7,1.63
2004,7,12,0.94
2004,7,17,0.55
2004,7,22,0.59
2004,7,27,0.08
2004,8,1,-1.41
2004,8,6,-1.72
2004,8,11,-1.48
2004,8,16,-0.77
2004,8,21,0.53
2004,8,26,0.13
2004,8,31,0.41
2004,9,5,0.31
2004,9,10,0.08
2004,9,15,0.43
2004,9,20,0.92
2004,9,25,0.4
2004,9,30,-0.93
2004,10,5,-1.67
2004,10,10,-0.77
2004,10,15,0.1
2004,10,20,1.91
2004,10,25,2.29
2004,10,30,0.99
2004,11,4,0.02
2004,11,9,0.3
2004,11,14,0.21
2004,11,19,0.78
2004,11,24,0.7
2004,11,29,-0.12
2004,12,4,-0.92
2004,12,9,-0.12
2004,12,14,0.48
2004,12,19,0.59
2004,12,24,1.19
2004,12,29,0.57
2005,1,3,-1.01
2005,1,8,-1.25
2005,1,13,-0.02
2005,1,18,0.13
2005,1,23,0.97
2005,1,28,-0.3
2005,2,2,-1.25
2005,2,7,-0.35
2005,2,12,0.88
2005,2,17,0.73
2005,2,22,0.94
2005,2,27,1.37
2005,3,4,0.06
2005,3,9,0.51
2005,3,14,1.1
2005,3,19,1.12
2005,3,24,0.36
2005,3,29,-0.63
2005,4,3,-1.12
2005,4,8,-2.86
2005,4,13,-2.8
2005,4,18,0.39
2005,4,23,2.29
2005,4,28,2.17
2005,5,3,1.01
2005,5,8,-1.64
2005,5,13,-1.19
2005,5,18,1.55
2005,5,23,2.08
2005,5,28,-0.23
2005,6,2,-1.01
2005,6,7,0.85
2005,6,12,1
2005,6,17,0.1
2005,6,22,-0.09
2005,6,27,0.02
2005,7,2,0.33
2005,7,7,0.17
2005,7,12,0.19
2005,7,17,0.06
2005,7,22,-0.56
2005,7,27,-1.58
2005,8,1,-1.83
2005,8,6,-1.66
2005,8,11,0.13
2005,8,16,0.84
2005,8,21,0.53
2005,8,26,0.4
2005,8,31,0.32
2005,9,5,-1.22
2005,9,10,-2.43
2005,9,15,-1.65
2005,9,20,-0.37
2005,9,25,0.82
2005,9,30,0.05
2005,10,5,0.82
2005,10,10,1.57
2005,10,15,0.1
2005,10,20,-0.97
2005,10,25,-0.04
2005,10,30,-0.98
2005,11,4,-1.24
2005,11,9,-1.32
2005,11,14,-0.19
2005,11,19,0.99
2005,11,24,1.15
2005,11,29,0.15
2005,12,4,0.29
2005,12,9,-0.48
2005,12,14,-0.3
2005,12,19,-0.74
2005,12,24,0.18
2005,12,29,0.87
2006,1,3,1.51
2006,1,8,1.08
2006,1,13,-0.23
2006,1,18,-1
2006,1,23,-1.19
2006,1,28,-0.27
2006,2,2,-0.01
2006,2,7,0.87
2006,2,12,1.37
2006,2,17,1.72
2006,2,22,1.19
2006,2,27,-0.32
2006,3,4,-0.36
2006,3,9,-0.04
2006,3,14,-0.54
2006,3,19,0.36
2006,3,24,0.21
2006,3,29,-0.83
2006,4,3,-0.54
2006,4,8,0.4
2006,4,13,0.7
2006,4,18,-0.3
2006,4,23,-0.46
2006,4,28,-0.13
2006,5,3,-0.27
2006,5,8,0.49
2006,5,13,0.69
2006,5,18,1.76
2006,5,23,0.39
2006,5,28,-0.58
2006,6,2,0.38
2006,6,7,1
2006,6,12,1.1
2006,6,17,0.22
2006,6,22,0.56
2006,6,27,-1.14
2006,7,2,-1.29
2006,7,7,-0.87
2006,7,12,-0.15
2006,7,17,-0.12
2006,7,22,-0.38
2006,7,27,0.44
2006,8,1,0.36
2006,8,6,-1.05
2006,8,11,-0.76
2006,8,16,-0.08
2006,8,21,0.29
2006,8,26,0.77
2006,8,31,0.5
2006,9,5,0.96
2006,9,10,0.63
2006,9,15,0.26
2006,9,20,-0.42
2006,9,25,-1.43
2006,9,30,-1.94
2006,10,5,-2.27
2006,10,10,0.48
2006,10,15,2.26
2006,10,20,2.56
2006,10,25,1.08
2006,10,30,0.02
2006,11,4,-0.22
2006,11,9,1.28
2006,11,14,1.74
2006,11,19,1.75
2006,11,24,0.05
2006,11,29,-0.55
2006,12,4,-0.19
2006,12,9,0.45
2006,12,14,0.7
2006,12,19,0.9
2006,12,24,1.22
2006,12,29,-0.3
2007,1,3,-1.58
2007,1,8,-1.31
2007,1,13,-1.06
2007,1,18,-0.43
2007,1,23,-0.55
2007,1,28,-0.22
2007,2,2,-0.7
2007,2,7,-0.08
2007,2,12,0.74
2007,2,17,1.29
2007,2,22,0.53
2007,2,27,-1.23
2007,3,4,-1.96
2007,3,9,-0.37
2007,3,14,-0.02
2007,3,19,-0.59
2007,3,24,-1.02
2007,3,29,-1.11
2007,4,3,0.62
2007,4,8,1.63
2007,4,13,0.56
2007,4,18,-0.04
2007,4,23,0.01
2007,4,28,0.1
2007,5,3,-0.76
2007,5,8,-0.99
2007,5,13,0.04
2007,5,18,-0.4
